Time,Time Code,Country Name,Country Code,GDP per person employed (constant 2017 PPP $) [SL.GDP.PCAP.EM.KD],CO2 emissions (kt) [EN.ATM.CO2E.KT],"Population, total [SP.POP.TOTL]"
2004,YR2004,Armenia,ARM,17277.5797551147,3759.99999046326,3065745
2004,YR2004,Azerbaijan,AZE,12027.8629720913,28309.9994659424,8306500
2004,YR2004,Belarus,BLR,23633.9096109473,56040.0009155273,9730146
2004,YR2004,Bosnia and Herzegovina,BIH,32245.4009622233,15569.9996948242,4142860
2004,YR2004,Bulgaria,BGR,35843.6847116547,47270.0004577637,7716860
2004,YR2004,Georgia,GEO,14821.0934864606,3369.99988555908,3927340
2004,YR2004,Kazakhstan,KAZ,31741.8355576706,158029.998779297,15012984
2004,YR2004,Kosovo,XKX,..,..,1704622
2004,YR2004,Moldova,MDA,18316.4442122775,7780.00020980835,2896023
2004,YR2004,Montenegro,MNE,49341.0070027777,2039.99996185303,613353
2004,YR2004,North Macedonia,MKD,39857.3132390598,8840.00015258789,2032544
2004,YR2004,Russian Federation,RUS,39821.6702499409,1600979.98046875,144067316
2004,YR2004,Serbia,SRB,30370.2944256745,56349.9984741211,7463157
2004,YR2004,Turkiye,TUR,57413.4579048373,224600.006103516,67785075
2004,YR2004,Turkmenistan,TKM,15326.6873784898,49369.9989318848,4819792
2005,YR2005,Albania,ALB,22751.5948989037,4030.00020980835,3011487
2005,YR2005,Armenia,ARM,19538.4040794275,4460.00003814697,3047246
2005,YR2005,Azerbaijan,AZE,15202.2782062097,30040.0009155273,8391850
2005,YR2005,Belarus,BLR,25528.7656099694,56779.9987792969,9663915
2005,YR2005,Bosnia and Herzegovina,BIH,34564.2837792387,16229.9995422363,4094297
2005,YR2005,Bulgaria,BGR,38347.9165798852,47990.0016784668,7658972
2005,YR2005,Georgia,GEO,16623.363449715,4239.99977111816,3902469
2005,YR2005,Kazakhstan,KAZ,34395.0654586985,169210.006713867,15147029
2005,YR2005,Kosovo,XKX,..,..,1705780
2005,YR2005,Moldova,MDA,19812.3569457603,8180.00030517578,2888985
2005,YR2005,Montenegro,MNE,51511.76592812,2000,614261
2005,YR2005,North Macedonia,MKD,41595.174625957,9229.99954223633,2036855
2005,YR2005,Russian Federation,RUS,41789.4540831941,1611979.98046875,143518814
2005,YR2005,Serbia,SRB,34253.9526898579,50689.998626709,7440769
2005,YR2005,Turkiye,TUR,61035.8115052528,235000,68704715
2005,YR2005,Turkmenistan,TKM,17042.3872405415,50590.0001525879,4885775
2006,YR2006,Albania,ALB,24314.7021052819,4010.00022888184,2992547
2006,YR2006,Armenia,ARM,21949.7520071105,4489.99977111816,3026486
2006,YR2006,Azerbaijan,AZE,20308.962916476,30489.9997711182,8484550
2006,YR2006,Belarus,BLR,27782.0407152853,59119.9989318848,9604924
2006,YR2006,Bosnia and Herzegovina,BIH,37158.1367520024,17909.9998474121,4058086
2006,YR2006,Bulgaria,BGR,39406.1551519565,48950.0007629395,7601022
2006,YR2006,Georgia,GEO,18640.6015384919,4699.99980926514,3880347
2006,YR2006,Kazakhstan,KAZ,37253.3003601009,185300.003051758,15308085
2006,YR2006,Kosovo,XKX,..,..,1719536
2006,YR2006,Moldova,MDA,21846.8491826497,7980.00001907349,2880967
2006,YR2006,Montenegro,MNE,52030.7452310068,2180.0000667572,615025
2006,YR2006,North Macedonia,MKD,42652.3327460812,9220.00026702881,2040228
2006,YR2006,Russian Federation,RUS,44998.1033536555,1654849.97558594,143049637
2006,YR2006,Serbia,SRB,37771.1645033775,53009.9983215332,7411569
2006,YR2006,Turkiye,TUR,63962.7560228315,261079.986572266,69601333
2006,YR2006,Turkmenistan,TKM,18525.4657759204,51919.9981689453,4954029
2007,YR2007,Albania,ALB,26261.2287799657,4139.9998664856,2970017
2007,YR2007,Armenia,ARM,24803.2190034906,5199.99980926514,3004393
2007,YR2007,Azerbaijan,AZE,24809.2649998443,27629.9991607666,8581300
2007,YR2007,Belarus,BLR,29829.0284989773,57650.0015258789,9560953
2007,YR2007,Bosnia and Herzegovina,BIH,37836.103958449,18889.9993896484,4007876
2007,YR2007,Bulgaria,BGR,40339.4358579202,52599.9984741211,7545338
2007,YR2007,Georgia,GEO,20534.6470304444,5630.00011444092,3860158
2007,YR2007,Kazakhstan,KAZ,39402.8908874342,198389.999389648,15484192
2007,YR2007,Kosovo,XKX,..,..,1733404
2007,YR2007,Moldova,MDA,22626.0158241064,8140.00034332275,2874299
2007,YR2007,Montenegro,MNE,51554.5964754324,2099.99990463257,615875
2007,YR2007,North Macedonia,MKD,43908.8684973921,9699.99980926514,2043559
2007,YR2007,Russian Federation,RUS,47634.8800467786,1658150.02441406,142805114
2007,YR2007,Serbia,SRB,38927.7678870933,51459.9990844727,7381579
2007,YR2007,Turkiye,TUR,66081.0460063286,288970.001220703,70468869
2007,YR2007,Turkmenistan,TKM,20167.8298533814,58479.9995422363,5024894
2008,YR2008,Albania,ALB,27721.9796956305,4079.99992370605,2947314
2008,YR2008,Armenia,ARM,28052.4878556403,5690.00005722046,2983421
2008,YR2008,Azerbaijan,AZE,26892.2033499335,30450.0007629395,8763400
2008,YR2008,Belarus,BLR,32547.9148626094,60529.9987792969,9527985
2008,YR2008,Bosnia and Herzegovina,BIH,37626.232363438,20760.0002288818,3943392
2008,YR2008,Bulgaria,BGR,41584.0808835826,50040.0009155273,7492561
2008,YR2008,Georgia,GEO,22125.1444914335,4840.00015258789,3848449
2008,YR2008,Kazakhstan,KAZ,39284.0612729923,242029.998779297,15776938
2008,YR2008,Kosovo,XKX,..,..,1747383
2008,YR2008,Moldova,MDA,24366.2190144158,8149.99961853027,2868833
2008,YR2008,Montenegro,MNE,53668.2433085303,2690.00005722046,616969
2008,YR2008,North Macedonia,MKD,44686.2869843823,9479.99954223633,2046898
2008,YR2008,Russian Federation,RUS,49924.4185628313,1655189.94140625,142742366
2008,YR2008,Serbia,SRB,38750.0883219934,49830.0018310547,7350222
2008,YR2008,Turkiye,TUR,65154.5254655447,287190.002441406,71320726
2008,YR2008,Turkmenistan,TKM,22775.3933814011,59279.9987792969,5100083
2009,YR2009,Albania,ALB,27782.0640602825,4219.99979019165,2927519
2009,YR2009,Armenia,ARM,25009.2163751059,4510.00022888184,2964296
2009,YR2009,Azerbaijan,AZE,29168.6447378484,25500,8947243
2009,YR2009,Belarus,BLR,32217.882543595,57400.0015258789,9504583
2009,YR2009,Bosnia and Herzegovina,BIH,37602.126517526,20590.0001525879,3877750
2009,YR2009,Bulgaria,BGR,41628.6201086837,42909.9998474121,7444443
2009,YR2009,Georgia,GEO,21865.1674973312,5619.99988555908,3814419
2009,YR2009,Kazakhstan,KAZ,39629.8117682467,213610.000610352,16092822
2009,YR2009,Kosovo,XKX,..,..,1761474
2009,YR2009,Moldova,MDA,24319.7122029183,7639.9998664856,2865213
2009,YR2009,Montenegro,MNE,51407.6815437345,1750,618294
2009,YR2009,North Macedonia,MKD,42904.6524187495,8869.99988555908,2050671
2009,YR2009,Russian Federation,RUS,47126.0200316595,1546670.04394531,142785349
2009,YR2009,Serbia,SRB,40733.9073959546,46869.9989318848,7320807
2009,YR2009,Turkiye,TUR,61704.4472980069,287829.986572266,72225639
2009,YR2009,Turkmenistan,TKM,23527.4108763648,52389.9993896484,5180957
2010,YR2010,Albania,ALB,28685.5539833702,4449.99980926514,2913021
2010,YR2010,Armenia,ARM,24639.2593052295,4340.00015258789,2946293
2010,YR2010,Azerbaijan,AZE,30258.3624129697,24309.9994659424,9054332
2010,YR2010,Belarus,BLR,34746.6246828748,61669.9981689453,9483836
2010,YR2010,Bosnia and Herzegovina,BIH,39408.5305983105,20840.0001525879,3811088
2010,YR2010,Bulgaria,BGR,43953.9542290845,44740.0016784668,7395599
2010,YR2010,Georgia,GEO,22920.6163729734,5320.00017166138,3786695
2010,YR2010,Kazakhstan,KAZ,41523.5842643435,229699.996948242,16321872
2010,YR2010,Kosovo,XKX,..,..,1775680
2010,YR2010,Moldova,MDA,27066.8080135877,8300.00019073486,2862354
2010,YR2010,Montenegro,MNE,53005.2774482652,2579.99992370605,619428
2010,YR2010,North Macedonia,MKD,43778.9497598071,8640.00034332275,2055004
2010,YR2010,Russian Federation,RUS,48831.2689182717,1617829.95605469,142849468
2010,YR2010,Serbia,SRB,44680.8154216707,47099.9984741211,7291436
2010,YR2010,Turkiye,TUR,62811.2869831496,297109.985351563,73195345
2010,YR2010,Turkmenistan,TKM,25374.1119630834,59180.0003051758,5267970
2011,YR2011,Albania,ALB,26723.4526270673,4849.99990463257,2905195
2011,YR2011,Armenia,ARM,25113.8426200919,4940.00005722046,2928976
2011,YR2011,Azerbaijan,AZE,29977.490929629,27280.0006866455,9173082
2011,YR2011,Belarus,BLR,36572.9384091603,58549.9992370605,9461643
2011,YR2011,Bosnia and Herzegovina,BIH,41070.4470334164,23739.9997711182,3743142
2011,YR2011,Bulgaria,BGR,46496.6461911342,49639.9993896484,7348328
2011,YR2011,Georgia,GEO,24361.2107619175,6519.99998092651,3756441
2011,YR2011,Kazakhstan,KAZ,43936.8454911906,245449.996948242,16557202
2011,YR2011,Kosovo,XKX,..,..,1791000
2011,YR2011,Moldova,MDA,27930.5130630455,8340.00015258789,2860699
2011,YR2011,Montenegro,MNE,54576.9581055985,2539.99996185303,620079
2011,YR2011,North Macedonia,MKD,44286.3975093608,9520.00045776367,2058539
2011,YR2011,Russian Federation,RUS,50356.7173422385,1699089.96582031,142960908
2011,YR2011,Serbia,SRB,48611.3058231364,51229.9995422363,7234099
2011,YR2011,Turkiye,TUR,65504.5362904469,317720.001220703,74173854
2011,YR2011,Turkmenistan,TKM,28941.7390898744,65449.9969482422,5360811
2012,YR2012,Albania,ALB,28295.2840229345,4360.0001335144,2900401
2012,YR2012,Armenia,ARM,26548.572921483,5719.99979019165,2914421
2012,YR2012,Azerbaijan,AZE,30235.7621113279,30110.0006103516,9295784
2012,YR2012,Belarus,BLR,37133.2399411553,59939.998626709,9446836
2012,YR2012,Bosnia and Herzegovina,BIH,41529.9602338302,21959.9990844727,3674374
2012,YR2012,Bulgaria,BGR,47219.300211102,45020.0004577637,7305888
2012,YR2012,Georgia,GEO,25602.0980743693,7190.00005722046,3728874
2012,YR2012,Kazakhstan,KAZ,45573.0649748426,244600.006103516,16792090
2012,YR2012,Kosovo,XKX,..,..,1807106
2012,YR2012,Moldova,MDA,28448.4883864068,8140.00034332275,2860324
2012,YR2012,Montenegro,MNE,51726.4701836706,2329.99992370605,620601
2012,YR2012,North Macedonia,MKD,43879.605374098,9050.00019073486,2061044
2012,YR2012,Russian Federation,RUS,51893.8136604229,1675760.00976563,143201721
2012,YR2012,Serbia,SRB,48843.8976179876,45790.0009155273,7199077
2012,YR2012,Turkiye,TUR,66648.3684554159,328880.004882813,75277439
2012,YR2012,Turkmenistan,TKM,31841.5162171224,69010.0021362305,5458682
2013,YR2013,Albania,ALB,31839.1532713493,4440.00005722046,2895092
2013,YR2013,Armenia,ARM,27080.9147189745,5500,2901385
2013,YR2013,Azerbaijan,AZE,31439.4851895074,30940.0005340576,9416801
2013,YR2013,Belarus,BLR,37445.5032662153,59990.0016784668,9443211
2013,YR2013,Bosnia and Herzegovina,BIH,43201.8299263834,21850.0003814697,3617559
2013,YR2013,Bulgaria,BGR,46924.5377815799,39659.9998474121,7265115
2013,YR2013,Georgia,GEO,26712.4424922423,7840.00015258789,3717668
2013,YR2013,Kazakhstan,KAZ,47834.253441808,260010.009765625,17035551
2013,YR2013,Kosovo,XKX,..,..,1818117
2013,YR2013,Moldova,MDA,30363.9024396188,7179.99982833862,2859558
2013,YR2013,Montenegro,MNE,53018.6094110894,2269.99998092651,621207
2013,YR2013,North Macedonia,MKD,43143.268078192,8140.00034332275,2064032
2013,YR2013,Russian Federation,RUS,53023.7993908668,1632680.05371094,143506995
2013,YR2013,Serbia,SRB,47520.4105810721,46470.0012207031,7164132
